amfi_code,cagr,sharpe_ratio,sortino_ratio,max_drawdown,cagr_rank,sharpe_rank,sortino_rank,drawdown_rank,fund_score
148567,0.3097410750185903,1.4482911703262598,2.3856443733688186,-0.11265729075028275,5.0,1.0,1.0,8.0,3.6
120843,0.3090745475400549,1.3067439695428409,2.3643200321667184,-0.1297396816518679,6.0,2.0,2.0,13.0,5.4
148569,0.3194952310833252,1.2349300257743294,2.146913926346055,-0.1639674294693263,4.0,3.0,3.0,21.0,6.9
120505,0.3282740607461121,1.1801011976606492,2.0293529404657464,-0.18188513572116294,1.0,5.0,5.0,25.0,7.8
119551,0.25804686425584,1.2082665673727175,2.140267129061793,-0.1501238549864533,10.0,4.0,4.0,17.0,8.4
149323,0.29581086910433996,1.1321218524747243,1.8751010639192083,-0.17248105753451382,8.0,6.0,6.0,22.0,9.8
100033,0.3012315310072722,1.093698743534631,1.8291339615146942,-0.16217208574644848,7.0,7.0,8.0,20.0,9.8
101206,0.2353836133468803,1.0272133278753695,1.799562874698452,-0.11291596329323073,12.0,9.0,10.0,9.0,10.1
120504,0.2329511862010305,1.0265242847993001,1.8052937940992548,-0.12588275606922517,13.0,10.0,9.0,12.0,11.100000000000001
118632,0.24049492662391758,1.0816591793457042,1.850132546855726,-0.17414075086657232,11.0,8.0,7.0,23.0,11.7
119552,0.21524235873769704,0.9532794968660104,1.609776489628308,-0.11803493502764295,15.0,12.0,15.0,11.0,13.3
119094,0.2821441719365203,0.9982309868636413,1.7037974802463003,-0.20960883862039192,9.0,11.0,11.0,28.0,13.8
119598,0.32423536152454613,0.9453082575156095,1.6753165700125519,-0.2870600572176455,2.0,14.0,12.0,36.0,14.4
102885,0.18232378887705947,0.8170993373494367,1.4357420130649492,-0.1085986215250232,18.0,16.0,16.0,7.0,14.799999999999999
149324,0.3228744045157361,0.9497958246616031,1.6197931764914093,-0.31171900300634214,3.0,13.0,14.0,37.0,15.0
148568,0.2251686900711385,0.9262873467360144,1.632740977873516,-0.1527259422823477,14.0,15.0,13.0,19.0,15.1
120503,0.18785325598262204,0.7979728586052847,1.3379431500669237,-0.13897862823061635,17.0,17.0,17.0,14.0,16.4
125497,0.19017795344711463,0.7757902498211205,1.3306512447571364,-0.15200013055606398,16.0,18.0,18.0,18.0,17.4
118635,0.15957231179671738,0.664856998549062,1.137976718780742,-0.1165062450540909,23.0,19.0,20.0,10.0,18.6
120507,0.07237539728384412,0.4957233929533123,1.0521238822609291,-0.0009773140045925555,29.0,23.0,23.0,1.0,20.4
120506,0.1708486725575018,0.6488787755249532,1.0958951614736467,-0.1982565826298267,19.0,20.0,21.0,27.0,21.299999999999997
118633,0.16274217354504272,0.6452074382933215,1.154475716923624,-0.18629743138595511,22.0,21.0,19.0,26.0,21.9
102887,0.16841120247307528,0.6195175900829828,1.0887552508030016,-0.21539827112383225,20.0,22.0,22.0,30.0,23.0
149322,0.13393275924001857,0.46403744922047774,0.7621288703723166,-0.14844576917771746,25.0,25.0,25.0,16.0,23.2
120841,0.1353221114899239,0.4942725378672349,0.8625738849916581,-0.1757361416468729,24.0,24.0,24.0,24.0,24.0
118634,0.16373474033415758,0.44843400890899127,0.7460146308533572,-0.2334488614483311,21.0,26.0,26.0,32.0,25.700000000000003
120844,0.06915272985067156,-0.08874729621557288,-0.1877230477424223,-0.0011629327956168556,30.0,34.0,34.0,2.0,26.4
125498,0.11301817123279978,0.30061192104254786,0.5088128197169232,-0.21117279560132118,26.0,27.0,27.0,29.0,27.099999999999998
119092,0.06367989237605243,0.03078485095458594,0.05257398559304803,-0.1440161790933726,33.0,31.0,31.0,15.0,28.4
119093,0.07897557854375958,0.12961449795669328,0.22108683979276353,-0.21751396370148224,28.0,29.0,29.0,31.0,29.1
119120,0.05889418716346717,-0.22657538662791576,-0.37676700817066683,-0.04328728923970093,34.0,37.0,37.0,5.0,29.699999999999996
101207,0.07938764837247714,0.16266076928646772,0.27664379626092334,-0.3544691649336603,27.0,28.0,28.0,38.0,29.700000000000003
101208,0.06509026855465327,-0.8155673679088263,-1.681037866751281,-0.0016224980244717857,32.0,40.0,40.0,3.0,30.200000000000003
118636,0.05316889625171273,-0.35662950751436784,-0.6135251287271023,-0.08316361763638702,35.0,38.0,38.0,6.0,30.7
120842,0.06701543482038463,0.07599984804658923,0.12469346986475674,-0.24003511326274884,31.0,30.0,30.0,33.0,30.9
100025,0.04458209619173137,-0.5670947928476846,-0.9418212366054204,-0.04308263824636349,36.0,39.0,39.0,4.0,31.1
119599,0.02054484701809378,-0.05718662582817995,-0.09438726129459606,-0.5257422117012851,38.0,32.0,32.0,40.0,35.4
100016,0.026370743672111008,-0.20151706755966936,-0.3510474601523089,-0.24734440880673303,37.0,35.0,36.0,34.0,35.6
119095,0.015215045330823962,-0.0759735711747892,-0.12818559275851926,-0.5167775370852656,39.0,33.0,33.0,39.0,36.0
102886,0.011717454918341197,-0.20583160785470309,-0.34722230254727265,-0.2800112356639287,40.0,36.0,35.0,35.0,36.8
